2013-06-04 09:14:59 status unpacked kmod:armhf 9-3ubuntu1
2013-06-04 09:14:59 install libacl1:armhf <none> 2.2.51-8ubuntu3
2013-06-04 09:14:59 status half-installed libacl1:armhf 2.2.51-8ubuntu3
2013-06-04 09:14:59 status unpacked libacl1:armhf 2.2.51-8ubuntu3
2013-06-04 09:14:59 status unpacked libacl1:armhf 2.2.51-8ubuntu3
2013-06-04 09:14:59 install libattr1:armhf <none> 1:2.4.46-8ubuntu2
2013-06-04 09:14:59 status half-installed libattr1:armhf 1:2.4.46-8ubuntu2
2013-06-04 09:14:59 status unpacked libattr1:armhf 1:2.4.46-8ubuntu2
2013-06-04 09:14:59 status unpacked libattr1:armhf 1:2.4.46-8ubuntu2
2013-06-04 09:14:59 install libaudit-common:all <none> 1:2.2.2-1ubuntu4
2013-06-04 09:14:59 status half-installed libaudit-common:all 1:2.2.2-1ubuntu4
2013-06-04 09:14:59 status unpacked libaudit-common:all 1:2.2.2-1ubuntu4
2013-06-04 09:14:59 status unpacked libaudit-common:all 1:2.2.2-1ubuntu4
2013-06-04 09:15:00 install libaudit1:armhf <none> 1:2.2.2-1ubuntu4
2013-06-04 09:15:00 status half-installed libaudit1:armhf 1:2.2.2-1ubuntu4
2013-06-04 09:15:00 status unpacked libaudit1:armhf 1:2.2.2-1ubuntu4
2013-06-04 09:15:00 status unpacked libaudit1:armhf 1:2.2.2-1ubuntu4
2013-06-04 09:15:00 install libblkid1:armhf <none> 2.20.1-5.1ubuntu8
2013-06-04 09:15:00 status half-installed libblkid1:armhf 2.20.1-5.1ubuntu8
2013-06-04 09:15:00 status unpacked libblkid1:armhf 2.20.1-5.1ubuntu8
2013-06-04 09:15:00 status unpacked libblkid1:armhf 2.20.1-5.1ubuntu8
2013-06-04 09:15:01 install libbz2-1.0:armhf <none> 1.0.6-4
2013-06-04 09:15:01 status half-installed libbz2-1.0:armhf 1.0.6-4
2013-06-04 09:15:01 status unpacked libbz2-1.0:armhf 1.0.6-4
2013-06-04 09:15:01 status unpacked libbz2-1.0:armhf 1.0.6-4
2013-06-04 09:15:01 install libc-bin:armhf <none> 2.17-0ubuntu5
2013-06-04 09:15:01 status half-installed libc-bin:armhf 2.17-0ubuntu5
2013-06-04 09:15:02 status unpacked libc-bin:armhf 2.17-0ubuntu5
2013-06-04 09:15:02 status unpacked libc-bin:armhf 2.17-0ubuntu5
2013-06-04 09:15:04 upgrade libc6:armhf 2.17-0ubuntu5 2.17-0ubuntu5
2013-06-04 09:15:04 status half-configured libc6:armhf 2.17-0ubuntu5
2013-06-04 09:15:04 status unpacked libc6:armhf 2.17-0ubuntu5
2013-06-04 09:15:04 status half-installed libc6:armhf 2.17-0ubuntu5
2013-06-04 09:15:10 status half-installed libc6:armhf 2.17-0ubuntu5
2013-06-04 09:15:10 status unpacked libc6:armhf 2.17-0ubuntu5
2013-06-04 09:15:10 status unpacked libc6:armhf 2.17-0ubuntu5
2013-06-04 09:15:10 install libcap2:armhf <none> 1:2.22-1.2ubuntu2
2013-06-04 09:15:10 status half-installed libcap2:armhf 1:2.22-1.2ubuntu2
2013-06-04 09:15:10 status unpacked libcap2:armhf 1:2.22-1.2ubuntu2
2013-06-04 09:15:10 status unpacked libcap2:armhf 1:2.22-1.2ubuntu2
2013-06-04 09:15:11 install libcomerr2:armhf <none> 1.42.5-1ubuntu4
2013-06-04 09:15:11 status half-installed libcomerr2:armhf 1.42.5-1ubuntu4
2013-06-04 09:15:11 status unpacked libcomerr2:armhf 1.42.5-1ubuntu4
2013-06-04 09:15:11 status unpacked libcomerr2:armhf 1.42.5-1ubuntu4
2013-06-04 09:15:11 install libdb5.1:armhf <none> 5.1.29-5ubuntu8
2013-06-04 09:15:11 status half-installed libdb5.1:armhf 5.1.29-5ubuntu8
2013-06-04 09:15:12 status unpacked libdb5.1:armhf 5.1.29-5ubuntu8
2013-06-04 09:15:13 status unpacked libdb5.1:armhf 5.1.29-5ubuntu8
2013-06-04 09:15:13 install libdbus-1-3:armhf <none> 1.6.8-1ubuntu6
2013-06-04 09:15:13 status half-installed libdbus-1-3:armhf 1.6.8-1ubuntu6
2013-06-04 09:15:14 status unpacked libdbus-1-3:armhf 1.6.8-1ubuntu6
2013-06-04 09:15:14 status unpacked libdbus-1-3:armhf 1.6.8-1ubuntu6
2013-06-04 09:15:14 install libdrm2:armhf <none> 2.4.43-0ubuntu1
2013-06-04 09:15:14 status half-installed libdrm2:armhf 2.4.43-0ubuntu1
2013-06-04 09:15:14 status unpacked libdrm2:armhf 2.4.43-0ubuntu1
2013-06-04 09:15:14 status unpacked libdrm2:armhf 2.4.43-0ubuntu1
2013-06-04 09:15:14 install libffi6:armhf <none> 3.0.13-2ubuntu1
2013-06-04 09:15:14 status half-installed libffi6:armhf 3.0.13-2ubuntu1
2013-06-04 09:15:14 status unpacked libffi6:armhf 3.0.13-2ubuntu1
2013-06-04 09:15:14 status unpacked libffi6:armhf 3.0.13-2ubuntu1
2013-06-04 09:15:15 install libgcc1:armhf <none> 1:4.7.3-1ubuntu1
2013-06-04 09:15:15 status half-installed libgcc1:armhf 1:4.7.3-1ubuntu1
2013-06-04 09:15:15 status unpacked libgcc1:armhf 1:4.7.3-1ubuntu1
2013-06-04 09:15:15 status unpacked libgcc1:armhf 1:4.7.3-1ubuntu1
2013-06-04 09:15:16 install libglib2.0-0:armhf <none> 2.36.0-1ubuntu2
2013-06-04 09:15:16 status half-installed libglib2.0-0:armhf 2.36.0-1ubuntu2
2013-06-04 09:15:17 status unpacked libglib2.0-0:armhf 2.36.0-1ubuntu2
2013-06-04 09:15:17 status unpacked libglib2.0-0:armhf 2.36.0-1ubuntu2
2013-06-04 09:15:17 install libjson0:armhf <none> 0.10-1.2ubuntu2
2013-06-04 09:15:17 status half-installed libjson0:armhf 0.10-1.2ubuntu2
2013-06-04 09:15:17 status unpacked libjson0:armhf 0.10-1.2ubuntu2
2013-06-04 09:15:17 status unpacked libjson0:armhf 0.10-1.2ubuntu2
2013-06-04 09:15:17 install libklibc:armhf <none> 2.0.1-3.1ubuntu1
2013-06-04 09:15:17 status half-installed libklibc:armhf 2.0.1-3.1ubuntu1
2013-06-04 09:15:17 status unpacked libklibc:armhf 2.0.1-3.1ubuntu1
2013-06-04 09:15:18 status unpacked libklibc:armhf 2.0.1-3.1ubuntu1
2013-06-04 09:15:18 install libkmod2:armhf <none> 9-3ubuntu1
2013-06-04 09:15:18 status half-installed libkmod2:armhf 9-3ubuntu1
2013-06-04 09:15:18 status unpacked libkmod2:armhf 9-3ubuntu1
2013-06-04 09:15:18 status unpacked libkmod2:armhf 9-3ubuntu1
2013-06-04 09:15:18 install liblzma5:armhf <none> 5.1.1alpha+20120614-2ubuntu1
2013-06-04 09:15:18 status half-installed liblzma5:armhf 5.1.1alpha+20120614-2ubuntu1
2013-06-04 09:15:18 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2ubuntu1
2013-06-04 09:15:18 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2ubuntu1
2013-06-04 09:15:18 install libmount1:armhf <none> 2.20.1-5.1ubuntu8
2013-06-04 09:15:18 status half-installed libmount1:armhf 2.20.1-5.1ubuntu8
2013-06-04 09:15:18 status unpacked libmount1:armhf 2.20.1-5.1ubuntu8
2013-06-04 09:15:19 status unpacked libmount1:armhf 2.20.1-5.1ubuntu8
2013-06-04 09:15:19 install libncurses5:armhf <none> 5.9-10ubuntu4
2013-06-04 09:15:19 status half-installed libncurses5:armhf 5.9-10ubuntu4
2013-06-04 09:15:19 status unpacked libncurses5:armhf 5.9-10ubuntu4
2013-06-04 09:15:19 status unpacked libncurses5:armhf 5.9-10ubuntu4
2013-06-04 09:15:19 install libncursesw5:armhf <none> 5.9-10ubuntu4
2013-06-04 09:15:19 status half-installed libncursesw5:armhf 5.9-10ubuntu4
2013-06-04 09:15:19 status unpacked libncursesw5:armhf 5.9-10ubuntu4
2013-06-04 09:15:19 status unpacked libncursesw5:armhf 5.9-10ubuntu4
