2013-06-03 09:03:03 status unpacked hostname:armhf 3.12ubuntu1
2013-06-03 09:03:03 status unpacked hostname:armhf 3.12ubuntu1
2013-06-03 09:03:03 install ifupdown:armhf <none> 0.7.5ubuntu2
2013-06-03 09:03:03 status half-installed ifupdown:armhf 0.7.5ubuntu2
2013-06-03 09:03:03 status unpacked ifupdown:armhf 0.7.5ubuntu2
2013-06-03 09:03:03 status unpacked ifupdown:armhf 0.7.5ubuntu2
2013-06-03 09:03:03 install initramfs-tools:all <none> 0.103ubuntu0.7
2013-06-03 09:03:03 status half-installed initramfs-tools:all 0.103ubuntu0.7
2013-06-03 09:03:03 status unpacked initramfs-tools:all 0.103ubuntu0.7
2013-06-03 09:03:03 status unpacked initramfs-tools:all 0.103ubuntu0.7
2013-06-03 09:03:04 install initramfs-tools-bin:armhf <none> 0.103ubuntu0.7
2013-06-03 09:03:04 status half-installed initramfs-tools-bin:armhf 0.103ubuntu0.7
2013-06-03 09:03:04 status unpacked initramfs-tools-bin:armhf 0.103ubuntu0.7
2013-06-03 09:03:04 status unpacked initramfs-tools-bin:armhf 0.103ubuntu0.7
2013-06-03 09:03:04 install initscripts:armhf <none> 2.88dsf-13.10ubuntu15
2013-06-03 09:03:04 status half-installed initscripts:armhf 2.88dsf-13.10ubuntu15
2013-06-03 09:03:04 status unpacked initscripts:armhf 2.88dsf-13.10ubuntu15
2013-06-03 09:03:04 status unpacked initscripts:armhf 2.88dsf-13.10ubuntu15
2013-06-03 09:03:04 install insserv:armhf <none> 1.14.0-5ubuntu1
2013-06-03 09:03:04 status half-installed insserv:armhf 1.14.0-5ubuntu1
2013-06-03 09:03:04 status unpacked insserv:armhf 1.14.0-5ubuntu1
2013-06-03 09:03:04 status unpacked insserv:armhf 1.14.0-5ubuntu1
2013-06-03 09:03:04 install iproute:armhf <none> 20121211-2
2013-06-03 09:03:04 status half-installed iproute:armhf 20121211-2
2013-06-03 09:03:04 status unpacked iproute:armhf 20121211-2
2013-06-03 09:03:04 status unpacked iproute:armhf 20121211-2
2013-06-03 09:03:04 install klibc-utils:armhf <none> 2.0.1-3.1ubuntu1
2013-06-03 09:03:04 status half-installed klibc-utils:armhf 2.0.1-3.1ubuntu1
2013-06-03 09:03:04 status unpacked klibc-utils:armhf 2.0.1-3.1ubuntu1
2013-06-03 09:03:04 status unpacked klibc-utils:armhf 2.0.1-3.1ubuntu1
2013-06-03 09:03:05 install kmod:armhf <none> 9-3ubuntu1
2013-06-03 09:03:05 status half-installed kmod:armhf 9-3ubuntu1
2013-06-03 09:03:05 status unpacked kmod:armhf 9-3ubuntu1
2013-06-03 09:03:05 status unpacked kmod:armhf 9-3ubuntu1
2013-06-03 09:03:05 install libacl1:armhf <none> 2.2.51-8ubuntu3
2013-06-03 09:03:05 status half-installed libacl1:armhf 2.2.51-8ubuntu3
2013-06-03 09:03:05 status unpacked libacl1:armhf 2.2.51-8ubuntu3
2013-06-03 09:03:05 status unpacked libacl1:armhf 2.2.51-8ubuntu3
2013-06-03 09:03:05 install libattr1:armhf <none> 1:2.4.46-8ubuntu2
2013-06-03 09:03:05 status half-installed libattr1:armhf 1:2.4.46-8ubuntu2
2013-06-03 09:03:05 status unpacked libattr1:armhf 1:2.4.46-8ubuntu2
2013-06-03 09:03:05 status unpacked libattr1:armhf 1:2.4.46-8ubuntu2
2013-06-03 09:03:05 install libaudit-common:all <none> 1:2.2.2-1ubuntu4
2013-06-03 09:03:05 status half-installed libaudit-common:all 1:2.2.2-1ubuntu4
2013-06-03 09:03:05 status unpacked libaudit-common:all 1:2.2.2-1ubuntu4
2013-06-03 09:03:05 status unpacked libaudit-common:all 1:2.2.2-1ubuntu4
2013-06-03 09:03:05 install libaudit1:armhf <none> 1:2.2.2-1ubuntu4
2013-06-03 09:03:05 status half-installed libaudit1:armhf 1:2.2.2-1ubuntu4
2013-06-03 09:03:05 status unpacked libaudit1:armhf 1:2.2.2-1ubuntu4
2013-06-03 09:03:05 status unpacked libaudit1:armhf 1:2.2.2-1ubuntu4
2013-06-03 09:03:05 install libblkid1:armhf <none> 2.20.1-5.1ubuntu8
2013-06-03 09:03:05 status half-installed libblkid1:armhf 2.20.1-5.1ubuntu8
2013-06-03 09:03:05 status unpacked libblkid1:armhf 2.20.1-5.1ubuntu8
2013-06-03 09:03:05 status unpacked libblkid1:armhf 2.20.1-5.1ubuntu8
2013-06-03 09:03:06 install libbz2-1.0:armhf <none> 1.0.6-4
2013-06-03 09:03:06 status half-installed libbz2-1.0:armhf 1.0.6-4
2013-06-03 09:03:06 status unpacked libbz2-1.0:armhf 1.0.6-4
2013-06-03 09:03:06 status unpacked libbz2-1.0:armhf 1.0.6-4
2013-06-03 09:03:06 install libc-bin:armhf <none> 2.17-0ubuntu5
2013-06-03 09:03:06 status half-installed libc-bin:armhf 2.17-0ubuntu5
2013-06-03 09:03:06 status unpacked libc-bin:armhf 2.17-0ubuntu5
2013-06-03 09:03:06 status unpacked libc-bin:armhf 2.17-0ubuntu5
2013-06-03 09:03:06 upgrade libc6:armhf 2.17-0ubuntu5 2.17-0ubuntu5
2013-06-03 09:03:06 status half-configured libc6:armhf 2.17-0ubuntu5
2013-06-03 09:03:06 status unpacked libc6:armhf 2.17-0ubuntu5
2013-06-03 09:03:06 status half-installed libc6:armhf 2.17-0ubuntu5
2013-06-03 09:03:08 status half-installed libc6:armhf 2.17-0ubuntu5
2013-06-03 09:03:09 status unpacked libc6:armhf 2.17-0ubuntu5
2013-06-03 09:03:09 status unpacked libc6:armhf 2.17-0ubuntu5
2013-06-03 09:03:09 install libcap2:armhf <none> 1:2.22-1.2ubuntu2
2013-06-03 09:03:09 status half-installed libcap2:armhf 1:2.22-1.2ubuntu2
2013-06-03 09:03:09 status unpacked libcap2:armhf 1:2.22-1.2ubuntu2
2013-06-03 09:03:09 status unpacked libcap2:armhf 1:2.22-1.2ubuntu2
2013-06-03 09:03:09 install libcomerr2:armhf <none> 1.42.5-1ubuntu4
2013-06-03 09:03:09 status half-installed libcomerr2:armhf 1.42.5-1ubuntu4
2013-06-03 09:03:09 status unpacked libcomerr2:armhf 1.42.5-1ubuntu4
2013-06-03 09:03:09 status unpacked libcomerr2:armhf 1.42.5-1ubuntu4
2013-06-03 09:03:09 install libdb5.1:armhf <none> 5.1.29-5ubuntu8
2013-06-03 09:03:09 status half-installed libdb5.1:armhf 5.1.29-5ubuntu8
2013-06-03 09:03:09 status unpacked libdb5.1:armhf 5.1.29-5ubuntu8
2013-06-03 09:03:09 status unpacked libdb5.1:armhf 5.1.29-5ubuntu8
2013-06-03 09:03:10 install libdbus-1-3:armhf <none> 1.6.8-1ubuntu6
2013-06-03 09:03:10 status half-installed libdbus-1-3:armhf 1.6.8-1ubuntu6
2013-06-03 09:03:10 status unpacked libdbus-1-3:armhf 1.6.8-1ubuntu6
2013-06-03 09:03:10 status unpacked libdbus-1-3:armhf 1.6.8-1ubuntu6
2013-06-03 09:03:10 install libdrm2:armhf <none> 2.4.43-0ubuntu1
2013-06-03 09:03:10 status half-installed libdrm2:armhf 2.4.43-0ubuntu1
2013-06-03 09:03:10 status unpacked libdrm2:armhf 2.4.43-0ubuntu1
2013-06-03 09:03:10 status unpacked libdrm2:armhf 2.4.43-0ubuntu1
2013-06-03 09:03:10 install libffi6:armhf <none> 3.0.13-2ubuntu1
2013-06-03 09:03:10 status half-installed libffi6:armhf 3.0.13-2ubuntu1
2013-06-03 09:03:10 status unpacked libffi6:armhf 3.0.13-2ubuntu1
2013-06-03 09:03:10 status unpacked libffi6:armhf 3.0.13-2ubuntu1
2013-06-03 09:03:10 install libgcc1:armhf <none> 1:4.7.3-1ubuntu1
2013-06-03 09:03:10 status half-installed libgcc1:armhf 1:4.7.3-1ubuntu1
2013-06-03 09:03:10 status unpacked libgcc1:armhf 1:4.7.3-1ubuntu1
2013-06-03 09:03:10 status unpacked libgcc1:armhf 1:4.7.3-1ubuntu1
2013-06-03 09:03:10 install libglib2.0-0:armhf <none> 2.36.0-1ubuntu2
2013-06-03 09:03:10 status half-installed libglib2.0-0:armhf 2.36.0-1ubuntu2
2013-06-03 09:03:11 status unpacked libglib2.0-0:armhf 2.36.0-1ubuntu2
2013-06-03 09:03:11 status unpacked libglib2.0-0:armhf 2.36.0-1ubuntu2
2013-06-03 09:03:11 install libjson0:armhf <none> 0.10-1.2ubuntu2
2013-06-03 09:03:11 status half-installed libjson0:armhf 0.10-1.2ubuntu2
2013-06-03 09:03:11 status unpacked libjson0:armhf 0.10-1.2ubuntu2
2013-06-03 09:03:11 status unpacked libjson0:armhf 0.10-1.2ubuntu2
2013-06-03 09:03:11 install libklibc:armhf <none> 2.0.1-3.1ubuntu1
2013-06-03 09:03:11 status half-installed libklibc:armhf 2.0.1-3.1ubuntu1
2013-06-03 09:03:11 status unpacked libklibc:armhf 2.0.1-3.1ubuntu1
2013-06-03 09:03:11 status unpacked libklibc:armhf 2.0.1-3.1ubuntu1
2013-06-03 09:03:11 install libkmod2:armhf <none> 9-3ubuntu1
2013-06-03 09:03:11 status half-installed libkmod2:armhf 9-3ubuntu1
2013-06-03 09:03:11 status unpacked libkmod2:armhf 9-3ubuntu1
2013-06-03 09:03:11 status unpacked libkmod2:armhf 9-3ubuntu1
2013-06-03 09:03:12 install liblzma5:armhf <none> 5.1.1alpha+20120614-2ubuntu1
2013-06-03 09:03:12 status half-installed liblzma5:armhf 5.1.1alpha+20120614-2ubuntu1
2013-06-03 09:03:12 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2ubuntu1
2013-06-03 09:03:12 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2ubuntu1
2013-06-03 09:03:12 install libmount1:armhf <none> 2.20.1-5.1ubuntu8
2013-06-03 09:03:12 status half-installed libmount1:armhf 2.20.1-5.1ubuntu8
2013-06-03 09:03:12 status unpacked libmount1:armhf 2.20.1-5.1ubuntu8
2013-06-03 09:03:12 status unpacked libmount1:armhf 2.20.1-5.1ubuntu8
2013-06-03 09:03:12 install libncurses5:armhf <none> 5.9-10ubuntu4
2013-06-03 09:03:12 status half-installed libncurses5:armhf 5.9-10ubuntu4
2013-06-03 09:03:12 status unpacked libncurses5:armhf 5.9-10ubuntu4
2013-06-03 09:03:12 status unpacked libncurses5:armhf 5.9-10ubuntu4
2013-06-03 09:03:12 install libncursesw5:armhf <none> 5.9-10ubuntu4
