2013-06-02 01:50:39 status unpacked gcc-4.7-base:armhf 4.7.3-1ubuntu1
2013-06-02 01:50:39 status unpacked gcc-4.7-base:armhf 4.7.3-1ubuntu1
2013-06-02 01:50:39 install grep:armhf <none> 2.14-1
2013-06-02 01:50:39 status half-installed grep:armhf 2.14-1
2013-06-02 01:50:39 status unpacked grep:armhf 2.14-1
2013-06-02 01:50:39 status unpacked grep:armhf 2.14-1
2013-06-02 01:50:39 install gzip:armhf <none> 1.5-1.1ubuntu1
2013-06-02 01:50:39 status half-installed gzip:armhf 1.5-1.1ubuntu1
2013-06-02 01:50:39 status unpacked gzip:armhf 1.5-1.1ubuntu1
2013-06-02 01:50:39 status unpacked gzip:armhf 1.5-1.1ubuntu1
2013-06-02 01:50:39 install hostname:armhf <none> 3.12ubuntu1
2013-06-02 01:50:39 status half-installed hostname:armhf 3.12ubuntu1
2013-06-02 01:50:39 status unpacked hostname:armhf 3.12ubuntu1
2013-06-02 01:50:39 status unpacked hostname:armhf 3.12ubuntu1
2013-06-02 01:50:39 install ifupdown:armhf <none> 0.7.5ubuntu2
2013-06-02 01:50:39 status half-installed ifupdown:armhf 0.7.5ubuntu2
2013-06-02 01:50:40 status unpacked ifupdown:armhf 0.7.5ubuntu2
2013-06-02 01:50:40 status unpacked ifupdown:armhf 0.7.5ubuntu2
2013-06-02 01:50:40 install initramfs-tools:all <none> 0.103ubuntu0.7
2013-06-02 01:50:40 status half-installed initramfs-tools:all 0.103ubuntu0.7
2013-06-02 01:50:40 status unpacked initramfs-tools:all 0.103ubuntu0.7
2013-06-02 01:50:40 status unpacked initramfs-tools:all 0.103ubuntu0.7
2013-06-02 01:50:40 install initramfs-tools-bin:armhf <none> 0.103ubuntu0.7
2013-06-02 01:50:40 status half-installed initramfs-tools-bin:armhf 0.103ubuntu0.7
2013-06-02 01:50:40 status unpacked initramfs-tools-bin:armhf 0.103ubuntu0.7
2013-06-02 01:50:40 status unpacked initramfs-tools-bin:armhf 0.103ubuntu0.7
2013-06-02 01:50:40 install initscripts:armhf <none> 2.88dsf-13.10ubuntu15
2013-06-02 01:50:40 status half-installed initscripts:armhf 2.88dsf-13.10ubuntu15
2013-06-02 01:50:40 status unpacked initscripts:armhf 2.88dsf-13.10ubuntu15
2013-06-02 01:50:40 status unpacked initscripts:armhf 2.88dsf-13.10ubuntu15
2013-06-02 01:50:40 install insserv:armhf <none> 1.14.0-5ubuntu1
2013-06-02 01:50:40 status half-installed insserv:armhf 1.14.0-5ubuntu1
2013-06-02 01:50:41 status unpacked insserv:armhf 1.14.0-5ubuntu1
2013-06-02 01:50:41 status unpacked insserv:armhf 1.14.0-5ubuntu1
2013-06-02 01:50:41 install iproute:armhf <none> 20121211-2
2013-06-02 01:50:41 status half-installed iproute:armhf 20121211-2
2013-06-02 01:50:41 status unpacked iproute:armhf 20121211-2
2013-06-02 01:50:41 status unpacked iproute:armhf 20121211-2
2013-06-02 01:50:41 install klibc-utils:armhf <none> 2.0.1-3.1ubuntu1
